sep=;
Date;Korkein;Matalin;Closing price;Keskimääräinen;Kok.volyymi;Liikevaihto;
2023-01-03;11113,86;10995,60;10995,60;;1;;
2023-01-02;11014,06;10897,96;11009,70;;1;;
2022-12-30;10921,86;10807,78;10807,78;;1;;
2022-12-29;10936,99;10812,41;10932,78;;1;;
2022-12-28;10945,33;10858,14;10861,37;;1;;
2022-12-27;11013,34;10899,50;10917,01;;1;;
2022-12-23;10957,82;10890,74;10912,68;;1;;
2022-12-22;11036,34;10870,99;10896,53;;1;;
2022-12-21;10991,51;10860,13;10943,89;;1;;
2022-12-20;10893,01;10698,86;10868,72;;1;;
2022-12-19;10857,17;10745,67;10809,36;;1;;
2022-12-16;10903,35;10693,45;10726,78;;1;;
2022-12-15;11030,60;10856,93;10869,23;;1;;
2022-12-14;11122,13;11027,10;11099,96;;1;;
2022-12-13;11224,59;11047,99;11099,09;;1;;
2022-12-12;11082,71;10982,18;11020,89;;1;;
2022-12-09;11151,27;11036,33;11130,32;;1;;
2022-12-08;11068,35;10990,67;10995,50;;1;;
2022-12-07;11178,93;11038,10;11038,10;;1;;
2022-12-05;11302,30;11206,84;11233,43;;1;;
2022-12-02;11334,01;11164,99;11243,33;;1;;
2022-12-01;11272,45;11126,17;11194,89;;1;;
2022-11-30;11094,27;10990,80;11069,81;;1;;
2022-11-29;11010,92;10903,31;10977,36;;1;;
2022-11-28;11002,45;10893,92;10907,26;;1;;
2022-11-25;11067,60;10996,47;11044,22;;1;;
2022-11-24;11062,82;10996,35;11027,94;;1;;
2022-11-23;10991,18;10924,26;10986,76;;1;;
2022-11-22;10933,47;10846,51;10918,48;;1;;
2022-11-21;10889,98;10801,09;10853,25;;1;;
2022-11-18;10904,66;10823,47;10899,68;;1;;
2022-11-17;10940,42;10732,18;10796,34;;1;;
2022-11-16;11020,55;10870,32;10915,90;;1;;
2022-11-15;11033,23;10929,87;10981,57;;1;;
2022-11-14;11058,88;10936,04;10980,13;;1;;
2022-11-11;11021,25;10925,93;10960,95;;1;;
2022-11-09;10834,33;10747,86;10795,74;;1;;
