sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-01-05;5,42;5,46;5,52;5,52;5,36;5,46;5,435;13123;71327,2;53;
2023-01-04;5,48;5,54;5,50;5,56;5,42;5,54;5,525;6185;34170,36;28;
2023-01-03;5,44;5,50;5,46;5,52;5,40;5,50;5,484;11217;61513,26;38;
2023-01-02;5,42;5,46;5,42;5,56;5,42;5,46;5,465;6754;36913,08;27;
2022-12-30;5,36;5,42;5,34;5,44;5,28;5,42;5,364;36019;193211,02;118;
2022-12-29;5,30;5,34;5,34;5,46;5,24;5,34;5,318;28044;149150,46;105;
2022-12-28;5,30;5,34;5,30;5,36;5,26;5,30;5,302;12824;67992,42;52;
2022-12-27;5,30;5,32;5,46;5,46;5,30;5,32;5,353;19835;106173,46;64;
2022-12-23;5,38;5,46;5,38;5,46;5,30;5,46;5,34;8413;44921,94;35;
2022-12-22;5,38;5,42;5,42;5,48;5,34;5,38;5,436;7166;38952,98;22;
2022-12-21;5,40;5,44;5,38;5,44;5,32;5,44;5,354;8428;45122,4;29;
2022-12-20;5,32;5,40;5,28;5,40;5,26;5,38;5,313;8167;43387,34;31;
2022-12-19;5,32;5,44;5,34;5,44;5,26;5,44;5,338;10312;55040,18;44;
2022-12-16;5,30;5,40;5,34;5,52;5,30;5,40;5,374;5721;30742,78;33;
2022-12-15;5,34;5,42;5,50;5,54;5,30;5,34;5,395;6664;35950,58;53;
2022-12-14;5,50;5,54;5,52;5,54;5,48;5,48;5,529;3742;20688,74;11;
2022-12-13;5,50;5,52;5,48;5,54;5,46;5,52;5,504;13303;73220,32;24;
2022-12-12;5,46;5,48;5,42;5,52;5,40;5,48;5,443;9459;51489,34;43;
2022-12-09;5,44;5,46;5,58;5,58;5,44;5,46;5,485;3581;19640,58;26;
2022-12-08;5,48;5,50;5,58;5,58;5,44;5,50;5,535;7614;42144,86;20;
2022-12-07;5,50;5,58;5,64;5,64;5,50;5,58;5,583;15343;85659,92;46;
2022-12-05;5,60;5,64;5,60;5,64;5,54;5,64;5,595;7504;41982,1;46;
2022-12-02;5,52;5,56;5,48;5,56;5,44;5,56;5,50;12034;66186,62;37;
2022-12-01;5,46;5,52;5,42;5,56;5,42;5,44;5,474;28392;155407,84;67;
2022-11-30;5,44;5,46;5,56;5,56;5,42;5,44;5,459;26611;145280,94;39;
2022-11-29;5,50;5,54;5,58;5,58;5,42;5,54;5,519;15578;85978,72;47;
2022-11-28;5,52;5,54;5,68;5,68;5,54;5,58;5,611;5156;28931,98;28;
2022-11-25;5,62;5,68;5,60;5,68;5,60;5,68;5,639;2068;11660,62;10;
2022-11-24;5,62;5,66;5,64;5,70;5,62;5,66;5,665;2778;15738,5;16;
2022-11-23;5,62;5,68;5,70;5,70;5,62;5,64;5,638;1238;6980,1;14;
2022-11-22;5,66;5,70;5,76;5,78;5,62;5,66;5,685;2664;15143,4;13;
2022-11-21;5,68;5,74;5,74;5,78;5,68;5,70;5,727;3953;22640,04;21;
2022-11-18;5,70;5,76;5,60;5,78;5,60;5,70;5,717;15696;89729,26;36;
2022-11-17;5,60;5,68;5,76;5,76;5,60;5,60;5,659;7986;45190,84;33;
2022-11-16;5,60;5,86;5,72;5,74;5,60;5,62;5,67;5089;28854,76;35;
2022-11-15;5,70;5,74;5,70;5,78;5,68;5,70;5,71;8179;46700,02;52;
2022-11-14;5,64;5,70;5,68;5,70;5,58;5,64;5,653;16730;94573,16;63;
2022-11-11;5,58;5,68;5,48;5,70;5,44;5,56;5,574;28676;159839,52;106;
2022-11-10;5,38;5,44;5,40;5,46;5,28;5,38;5,353;23041;123347,06;102;
2022-11-09;5,38;5,40;5,42;5,44;5,40;5,40;5,413;16448;89033,06;59;
2022-11-08;5,38;5,40;5,46;5,46;5,40;5,40;5,411;30021;162450,94;112;
2022-11-07;5,38;5,40;5,48;5,50;5,26;5,40;5,418;78494;425274,62;229;
2022-11-04;5,22;5,28;5,20;5,28;5,18;5,28;5,224;25841;134984,06;82;
2022-11-03;5,20;5,22;5,30;5,30;5,14;5,20;5,242;23222;121730,34;84;
2022-11-02;5,28;5,30;5,32;5,32;5,28;5,30;5,303;9094;48222,8;58;
2022-11-01;5,26;5,30;5,24;5,32;5,24;5,32;5,285;24447;129210,7;94;
2022-10-31;5,18;5,24;5,18;5,20;5,16;5,20;5,191;33609;174451,4;23;
2022-10-28;5,14;5,18;5,18;5,20;5,14;5,16;5,182;2226;11534,8;15;
2022-10-27;5,16;5,20;5,18;5,20;5,18;5,20;5,181;7212;37367,1;31;
2022-10-26;5,16;5,18;5,18;5,18;5,12;5,18;5,163;9930;51266,22;42;
2022-10-25;5,12;5,18;5,14;5,20;5,10;5,14;5,133;5666;29082,48;25;
2022-10-24;5,10;5,14;5,16;5,16;5,10;5,14;5,129;7858;40299,42;49;
2022-10-21;5,08;5,12;5,12;5,14;5,06;5,12;5,116;11344;58030,1;40;
2022-10-20;5,12;5,16;5,20;5,20;5,12;5,14;5,152;6476;33365,3;31;
2022-10-19;5,14;5,20;5,20;5,20;5,10;5,20;5,173;13262;68607,38;38;
2022-10-18;5,14;5,18;5,18;5,20;5,14;5,14;5,168;16137;83395,3;58;
2022-10-17;5,16;5,18;5,26;5,26;5,12;5,16;5,142;24174;124308,8;59;
2022-10-14;5,16;5,18;5,26;5,26;5,14;5,18;5,181;4593;23794,5;34;
2022-10-13;5,14;5,18;5,18;5,18;5,18;5,18;5,18;778;4030,04;14;
2022-10-12;5,08;5,18;5,18;5,24;5,08;5,18;5,124;4385;22467,18;36;
2022-10-11;5,12;5,16;5,20;5,20;5,08;5,12;5,104;3687;18819,84;30;
2022-10-10;5,14;5,20;5,18;5,22;5,04;5,22;5,145;5655;29092,72;25;
2022-10-07;5,18;5,26;5,30;5,30;5,20;5,20;5,269;1215;6402,1;17;
2022-10-06;5,20;5,32;5,34;5,36;5,20;5,26;5,263;3812;20061,28;20;
2022-10-05;5,24;5,26;5,30;5,30;5,20;5,26;5,293;3724;19712,24;27;
2022-10-04;5,32;5,36;5,52;5,52;5,26;5,32;5,322;8937;47562,96;41;
2022-10-03;5,20;5,52;5,26;5,26;5,08;5,26;5,168;9250;47805,62;47;
2022-09-30;5,20;5,22;5,12;5,32;5,12;5,32;5,169;5670;29307,66;41;
2022-09-29;5,08;5,14;5,22;5,22;5,02;5,08;5,079;13359;67848,08;58;
2022-09-28;5,20;5,26;5,44;5,44;5,14;5,26;5,254;17133;90022,54;61;
2022-09-27;5,28;5,30;5,50;5,50;5,26;5,30;5,314;7368;39156,2;35;
2022-09-26;5,34;5,38;5,40;5,40;5,26;5,38;5,333;6063;32335,08;50;
2022-09-23;5,34;5,38;5,42;5,52;5,24;5,40;5,325;12434;66206,08;64;
2022-09-22;5,34;5,44;5,48;5,56;5,20;5,44;5,411;18783;101627,14;70;
2022-09-21;5,48;5,58;5,60;5,60;5,50;5,54;5,551;7739;42960,48;40;
2022-09-20;5,50;5,60;5,80;5,90;5,44;5,60;5,668;27159;153933,08;90;
2022-09-19;5,76;5,80;5,92;5,94;5,54;5,76;5,757;22348;128655,38;135;
2022-09-16;6,00;6,02;6,18;6,20;6,00;6,02;6,045;2897;17512;37;
2022-09-15;6,06;6,14;6,10;6,18;6,04;6,18;6,127;1937;11867,92;20;
2022-09-14;6,04;6,14;6,32;6,32;6,02;6,10;6,092;1541;9387,68;23;
2022-09-13;6,10;6,20;6,30;6,30;6,08;6,08;6,212;2772;17220,42;33;
2022-09-12;6,22;6,30;6,12;6,30;6,10;6,30;6,214;10238;63617,76;68;
2022-09-09;6,00;6,04;6,10;6,10;6,00;6,10;6,04;1852;11186,86;33;
2022-09-08;6,00;6,10;6,08;6,10;5,98;6,10;6,059;2932;17765,6;28;
2022-09-07;5,98;6,00;6,00;6,08;6,00;6,00;6,002;2450;14703,86;36;
2022-09-06;6,00;6,14;6,24;6,24;6,04;6,12;6,119;5546;33936,34;60;
2022-09-05;6,12;6,14;6,32;6,32;6,10;6,14;6,15;7048;43342,28;60;
2022-09-02;6,24;6,34;6,24;6,36;6,22;6,34;6,272;3605;22609,48;31;
2022-09-01;6,18;6,24;6,40;6,40;6,18;6,24;6,27;5482;34372,98;45;
2022-08-31;6,36;6,40;6,46;6,48;6,34;6,40;6,385;7806;49842,98;46;
2022-08-30;6,34;6,44;6,50;6,50;6,30;6,44;6,376;9653;61376,75;45;
2022-08-29;6,36;6,48;6,54;6,54;6,28;6,50;6,358;13311;84627,94;76;
2022-08-26;6,58;6,62;6,62;6,62;6,52;6,62;6,574;4682;30780;36;
2022-08-25;6,54;6,64;6,64;6,64;6,52;6,64;6,578;1968;12945,6;20;
2022-08-24;6,44;6,54;6,42;6,56;6,42;6,42;6,481;2859;18528,26;30;
2022-08-23;6,44;6,58;6,44;6,66;6,42;6,54;6,512;6846;44579,94;52;
2022-08-22;6,40;6,44;6,54;6,60;6,32;6,40;6,432;8090;52037,58;63;
2022-08-19;6,54;6,62;6,72;6,78;6,54;6,54;6,644;5299;35206,4;49;
2022-08-18;6,68;6,70;6,70;6,86;6,68;6,70;6,728;3463;23300,46;33;
2022-08-17;6,68;6,70;6,78;6,78;6,66;6,68;6,704;3003;20133,36;34;
2022-08-16;6,72;6,80;6,72;6,80;6,66;6,68;6,706;3955;26521,8;41;
2022-08-15;6,74;6,80;6,80;6,80;6,40;6,74;6,57;7527;49451,16;59;
2022-08-12;6,70;6,78;6,80;6,80;6,70;6,70;6,722;3619;24326,4;37;
2022-08-11;6,70;6,78;6,84;6,90;6,70;6,78;6,832;9253;63218,02;52;
2022-08-10;6,70;6,74;6,52;6,82;6,52;6,70;6,73;2347;15795,22;30;
2022-08-09;6,68;6,84;6,74;6,90;6,60;6,84;6,808;11716;79761,1;75;
2022-08-08;6,72;6,74;6,70;6,74;6,40;6,74;6,639;6712;44560,28;40;
2022-08-05;6,60;6,70;6,70;6,72;6,60;6,70;6,693;3182;21297,64;33;
2022-08-04;6,66;6,74;6,78;6,80;6,70;6,74;6,74;3279;22098,96;28;
2022-08-03;6,70;6,74;6,62;6,78;6,62;6,74;6,682;45936;306923,8;35;
2022-08-02;6,64;6,70;6,72;6,72;6,52;6,64;6,66;51175;340832,56;29;
2022-08-01;6,72;6,74;6,72;6,76;6,68;6,74;6,721;4684;31481,76;47;
2022-07-29;6,66;6,70;6,66;6,72;6,66;6,70;6,695;7705;51587,1;52;
2022-07-28;6,52;6,64;6,68;6,68;6,50;6,64;6,617;2745;18163,38;25;
2022-07-27;6,52;6,68;6,62;6,68;6,52;6,66;6,642;6579;43696,46;57;
2022-07-26;6,50;6,62;6,70;6,70;6,56;6,62;6,624;2000;13247,38;26;
2022-07-25;6,56;6,66;6,62;6,68;6,56;6,64;6,628;9194;60938,04;48;
2022-07-22;6,50;6,58;6,58;6,58;6,46;6,58;6,519;2079;13553,06;21;
2022-07-21;6,52;6,60;6,56;6,70;6,50;6,60;6,61;17322;114500,36;74;
2022-07-20;6,50;6,56;6,16;6,60;6,14;6,58;6,464;34071;220238,66;138;
2022-07-19;6,00;6,12;6,06;6,18;5,90;6,14;6,004;3677;22074,94;21;
2022-07-18;5,80;5,90;5,80;5,98;5,80;5,90;5,843;5841;34126,8;31;
2022-07-15;5,80;5,92;5,90;6,04;5,76;5,80;5,816;5576;32430,16;33;
2022-07-14;5,84;5,90;5,94;5,96;5,84;5,84;5,862;3559;20863,72;21;
2022-07-13;5,94;6,04;5,98;6,06;5,94;5,94;5,981;2036;12176,98;18;
2022-07-12;5,94;6,04;6,02;6,04;5,86;5,94;5,937;2282;13547,52;21;
2022-07-11;5,94;6,02;6,04;6,04;5,84;5,96;5,925;1874;11103;8;
2022-07-08;5,94;6,04;5,80;6,04;5,76;6,04;5,891;9008;53063,04;58;
2022-07-07;5,80;5,84;5,86;5,86;5,74;5,80;5,785;2686;15538,94;29;
2022-07-06;5,70;5,72;5,88;5,88;5,68;5,72;5,72;5910;33806,18;25;
2022-07-05;5,74;6,00;5,90;6,04;5,52;5,74;5,807;11302;65635,36;50;
2022-07-04;5,88;5,90;5,88;6,16;5,88;5,88;5,947;3954;23512,32;22;
2022-07-01;5,86;5,92;5,94;5,94;5,86;5,94;5,907;2327;13744,34;22;
2022-06-30;5,88;5,98;6,06;6,06;5,86;5,96;5,936;2856;16954,28;32;
2022-06-29;6,06;6,16;6,00;6,14;6,00;6,06;6,036;1585;9567,04;21;
2022-06-28;6,00;6,08;6,04;6,14;6,00;6,08;6,036;3100;18712,52;23;
2022-06-27;6,00;6,04;5,94;6,06;5,84;6,06;5,954;3652;21742,78;36;
2022-06-23;5,94;6,02;5,94;6,02;5,90;5,94;5,964;2806;16736;19;
2022-06-22;5,92;6,00;5,92;6,00;5,90;5,98;5,944;667;3964,66;16;
2022-06-21;5,92;6,04;6,08;6,12;5,92;6,10;6,019;2110;12699,76;15;
2022-06-20;6,04;6,06;6,30;6,30;6,04;6,04;6,113;1876;11467,46;22;
2022-06-17;6,00;6,02;6,10;6,32;6,00;6,14;6,107;9043;55225,46;33;
2022-06-16;6,00;6,08;6,00;6,14;6,00;6,10;6,011;32665;196341,2;54;
2022-06-15;5,90;5,92;6,00;6,04;5,90;5,94;5,953;10228;60890,14;42;
2022-06-14;5,94;6,06;6,04;6,06;5,88;6,06;5,934;4498;26691,82;33;
2022-06-13;5,90;5,94;6,00;6,00;5,84;5,94;5,911;11412;67452,8;66;
2022-06-10;6,02;6,14;6,18;6,18;6,00;6,02;6,059;6514;39468,62;40;
2022-06-09;6,10;6,14;6,26;6,26;6,10;6,10;6,197;4745;29403,76;26;
2022-06-08;6,12;6,22;6,24;6,30;6,10;6,20;6,199;9295;57616,84;46;
2022-06-07;6,22;6,24;6,46;6,46;6,16;6,22;6,31;10817;68251,9;51;
2022-06-06;6,42;6,46;6,60;6,68;6,40;6,42;6,552;8746;57303,94;78;
2022-06-03;6,50;6,54;6,50;6,62;6,50;6,60;6,547;11629;76130,26;47;
2022-06-02;6,46;6,50;6,50;6,56;6,46;6,46;6,506;4780;31100,68;33;
2022-06-01;6,46;6,48;6,58;6,58;6,44;6,44;6,514;13168;85781,86;55;
2022-05-31;6,56;6,58;6,48;6,56;6,42;6,56;6,493;14996;97363,58;56;
2022-05-30;6,40;6,46;6,58;6,58;6,24;6,40;6,389;2868;18323,34;31;
2022-05-27;6,42;6,60;6,24;6,60;6,18;6,58;6,301;7432;46827,14;47;
2022-05-25;6,12;6,36;6,12;6,34;6,12;6,24;6,151;272;1673,12;12;
2022-05-24;6,08;6,20;6,20;6,32;6,08;6,08;6,17;1506;9292,18;28;
2022-05-23;6,10;6,16;6,20;6,20;6,08;6,10;6,148;383;2354,56;7;
2022-05-20;6,20;6,24;6,18;6,30;6,08;6,24;6,196;8948;55438,32;47;
2022-05-19;6,16;6,18;6,20;6,32;6,06;6,06;6,233;12200;76036,54;41;
2022-05-18;6,12;6,22;6,10;6,26;6,08;6,20;6,155;11116;68418,92;58;
2022-05-17;6,08;6,10;6,00;6,08;5,96;6,08;6,00;2879;17274,66;26;
2022-05-16;6,00;6,06;5,98;6,14;5,98;6,00;6,077;8249;50129,24;52;
2022-05-13;6,10;6,14;6,16;6,16;6,04;6,14;6,12;2576;15765,74;29;
2022-05-12;6,02;6,12;6,16;6,18;6,00;6,02;6,064;12329;74765,12;58;
2022-05-11;6,12;6,18;6,12;6,18;6,04;6,18;6,094;5396;32883,18;41;
2022-05-10;6,08;6,10;6,02;6,10;6,00;6,08;6,057;5980;36222,02;31;
2022-05-09;6,06;6,10;6,10;6,18;6,02;6,10;6,068;10561;64088,46;53;
2022-05-06;6,10;6,14;6,20;6,20;6,08;6,10;6,147;9239;56771,3;37;
2022-05-05;6,14;6,20;6,20;6,30;6,16;6,20;6,232;9099;56705,38;46;
2022-05-04;6,12;6,16;6,30;6,30;6,08;6,12;6,128;10243;62764,78;37;
2022-05-03;6,22;6,28;6,30;6,30;6,16;6,30;6,256;2168;13563,66;28;
2022-05-02;6,20;6,30;6,28;6,42;6,04;6,30;6,206;8304;51534,04;36;
2022-04-29;6,24;6,30;6,18;6,34;6,18;6,30;6,28;14199;89172,66;79;
2022-04-28;6,04;6,10;6,14;6,14;6,00;6,10;6,065;7540;45730,86;51;
2022-04-27;6,10;6,14;6,10;6,14;6,06;6,14;6,098;5062;30866,78;31;
2022-04-26;6,06;6,16;6,16;6,22;6,06;6,14;6,12;3239;19822,22;25;
2022-04-25;6,10;6,16;6,32;6,32;6,06;6,14;6,143;11377;69889,88;56;
2022-04-22;6,20;6,26;6,32;6,32;6,20;6,28;6,318;103319;652755,34;37;
2022-04-21;6,26;6,30;6,26;6,30;6,26;6,30;6,266;4352;27270,66;39;
2022-04-20;6,24;6,26;6,40;6,40;6,22;6,26;6,284;5213;32757,26;63;
2022-04-19;6,14;6,34;6,16;6,34;6,08;6,32;6,131;8275;50730,58;58;
2022-04-14;6,18;6,24;6,24;6,30;6,18;6,24;6,248;3260;20367,1;32;
2022-04-13;6,20;6,24;6,28;6,28;6,18;6,24;6,209;4067;25253,2;23;
2022-04-12;6,10;6,18;6,22;6,36;6,10;6,18;6,154;7137;43917,2;62;
2022-04-11;6,22;6,30;6,36;6,36;6,14;6,22;6,245;8126;50749,74;54;
2022-04-08;6,36;6,40;6,30;6,44;6,26;6,36;6,321;2145;13557,82;48;
2022-04-07;6,26;6,30;6,30;6,30;6,12;6,30;6,24;2603;16241,84;29;
2022-04-06;6,20;6,30;6,30;6,32;6,20;6,30;6,277;6210;38981,26;43;
2022-04-05;6,26;6,30;6,38;6,38;6,26;6,26;6,32;1813;11458,68;22;
2022-04-04;6,30;6,40;6,40;6,42;6,10;6,34;6,196;8038;49800,08;79;
2022-04-01;6,26;6,30;6,36;6,44;6,18;6,30;6,293;55751;350846,78;62;
2022-03-31;6,26;6,40;6,45;6,45;6,28;6,36;6,373;19553;124601,41;58;
2022-03-30;6,36;6,42;6,43;6,44;6,30;6,44;6,412;4458;28586,54;42;
2022-03-29;6,34;6,45;6,44;6,45;6,12;6,43;6,288;16655;104719,2;117;
2022-03-28;6,40;6,45;6,30;6,50;6,30;6,45;6,424;3911;25124,67;50;
2022-03-25;6,30;6,37;6,51;6,51;6,30;6,30;6,392;5086;32507,13;51;
2022-03-24;6,38;6,50;6,34;6,50;6,30;6,50;6,383;1701;10857,48;23;
2022-03-23;6,38;6,44;6,45;6,85;6,38;6,38;6,419;2596;16664,89;58;
2022-03-22;6,40;6,42;6,49;6,56;6,30;6,39;6,405;3035;19438,85;42;
2022-03-21;6,49;6,51;6,73;6,73;6,40;6,49;6,469;12848;83109,05;86;
2022-03-18;6,50;6,60;6,53;6,68;6,45;6,58;6,522;4905;31988,54;72;
2022-03-17;6,55;6,58;6,69;6,70;6,50;6,50;6,618;11284;74689,6;87;
2022-03-16;6,58;6,63;6,69;6,84;6,54;6,54;6,616;8488;56160,31;109;
2022-03-15;6,53;6,55;6,69;6,69;6,37;6,46;6,467;11678;75516,25;134;
2022-03-14;6,62;6,68;6,44;6,79;6,44;6,62;6,676;16176;107988,31;113;
2022-03-11;6,31;6,35;6,19;6,39;6,18;6,35;6,286;4571;28735,19;47;
2022-03-10;6,10;6,24;6,43;6,44;6,11;6,19;6,194;9785;60606,59;45;
2022-03-09;6,11;6,19;5,99;6,42;5,99;6,19;6,18;11590;71620,71;86;
2022-03-08;5,71;5,96;5,82;6,06;5,82;5,83;5,999;8802;52799,14;90;
2022-03-07;5,82;5,91;5,72;5,96;5,50;5,82;5,688;22572;128379,12;119;
2022-03-04;5,85;5,93;6,01;6,47;5,75;5,85;5,89;17879;105306,33;98;
2022-03-03;5,90;6,01;6,50;6,50;5,89;6,01;6,106;24578;150075,73;106;
2022-03-02;6,01;6,09;5,90;6,29;5,88;6,10;6,008;37083;222784,89;104;
2022-03-01;5,90;5,99;6,54;6,72;5,81;5,88;6,089;56475;343882,51;295;
2022-02-28;6,54;6,63;6,55;6,70;6,54;6,54;6,582;7902;52006,8;46;
2022-02-25;6,55;6,66;6,06;6,66;6,06;6,66;6,515;11875;77365,52;71;
2022-02-24;6,06;6,10;6,00;6,65;5,87;6,06;6,045;20522;124057,38;130;
2022-02-23;6,25;6,30;6,31;6,45;6,25;6,25;6,35;6356;40362,35;42;
2022-02-22;6,25;6,30;6,10;6,68;6,10;6,30;6,286;19753;124158,95;98;
2022-02-21;6,42;6,46;6,70;6,70;6,36;6,36;6,551;12119;79393,84;83;
2022-02-18;6,63;6,72;6,70;7,00;6,53;6,53;6,772;11494;77835,53;91;
2022-02-17;6,70;6,80;7,00;7,00;6,70;6,70;6,83;12454;85057,06;101;
2022-02-16;6,99;7,05;7,13;7,13;6,84;6,99;6,963;16559;115291,35;91;
2022-02-15;7,12;7,15;7,15;7,18;6,81;7,15;7,045;24584;173185,37;127;
2022-02-14;7,24;7,30;7,40;7,40;7,10;7,28;7,206;13451;96928,81;76;
2022-02-11;7,38;7,47;7,46;7,53;7,39;7,46;7,446;1746;13000,99;17;
2022-02-10;7,46;7,54;7,69;7,69;7,46;7,54;7,545;5187;39133,09;35;
2022-02-09;7,60;7,69;7,69;7,69;7,39;7,69;7,61;7885;60008,33;55;
2022-02-08;7,60;7,69;7,70;7,85;7,59;7,66;7,746;10372;80344,14;56;
2022-02-07;7,51;7,55;7,60;7,62;7,35;7,35;7,532;15533;116997,27;71;
2022-02-04;7,24;7,32;7,51;7,51;7,21;7,24;7,333;9659;70827,07;56;
2022-02-03;7,42;7,47;7,60;7,64;7,38;7,38;7,52;3833;28823,45;22;
2022-02-02;7,55;7,60;7,76;7,80;7,55;7,60;7,651;6793;51975,39;51;
2022-02-01;7,36;7,40;7,30;7,44;7,29;7,40;7,348;10896;80059,77;44;
2022-01-31;7,25;7,30;7,31;7,37;7,25;7,26;7,303;9055;66127,9;76;
2022-01-28;7,28;7,30;7,40;7,55;7,20;7,30;7,312;111245;813365;64;
2022-01-27;7,32;7,38;7,23;7,38;7,20;7,31;7,31;5786;42296,59;49;
2022-01-26;7,25;7,29;7,14;7,35;7,14;7,23;7,281;200015;1456324,25;67;
2022-01-25;7,14;7,15;6,85;7,36;6,85;7,14;7,119;23873;169942,99;119;
2022-01-24;6,76;6,81;7,02;7,14;6,75;6,78;6,839;32736;223874,21;217;
2022-01-21;7,20;7,25;7,65;7,67;7,07;7,17;7,305;36916;269681,37;244;
2022-01-20;7,69;7,70;7,80;7,80;7,55;7,66;7,685;4530;34811,63;42;
2022-01-19;7,65;7,70;7,80;7,80;7,50;7,70;7,648;10498;80284,85;63;
2022-01-18;7,81;7,89;7,95;7,95;7,67;7,80;7,802;10523;82097,53;83;
2022-01-17;7,86;7,95;7,77;7,87;7,77;7,81;7,826;3763;29447,82;36;
2022-01-14;7,77;7,85;7,91;7,91;7,73;7,77;7,775;10053;78157,73;70;
2022-01-13;7,80;7,90;7,95;7,99;7,80;7,91;7,902;7286;57573,28;59;
2022-01-12;7,92;7,94;8,02;8,02;7,92;7,92;7,953;3731;29671,74;23;
2022-01-11;7,85;7,89;7,90;8,02;7,81;7,81;7,929;14012;111098,8;75;
2022-01-10;7,76;7,81;7,85;8,10;7,75;7,78;7,955;26520;210969,48;160;
2022-01-07;7,82;7,84;8,01;8,02;7,76;7,81;7,891;15272;120506,29;85;
2022-01-05;8,01;8,06;8,10;8,13;8,00;8,01;8,04;11727;94279,97;70;
