sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-01-05;1,10;1,112;1,09;1,112;1,09;1,112;1,107;27560;30503,58;24;
2023-01-04;1,078;1,09;1,088;1,116;1,072;1,088;1,096;20723;22705,8;28;
2023-01-03;1,084;1,108;1,07;1,114;1,07;1,084;1,094;37998;41575,42;38;
2023-01-02;1,062;1,088;1,054;1,096;1,054;1,07;1,082;17862;19333,14;27;
2022-12-30;1,05;1,06;1,07;1,098;1,05;1,052;1,064;46547;49511,41;70;
2022-12-29;1,068;1,07;1,10;1,10;1,066;1,07;1,076;37918;40803,3;46;
2022-12-28;1,076;1,08;1,108;1,108;1,07;1,088;1,087;12188;13253,8;16;
2022-12-27;1,07;1,08;1,09;1,118;1,068;1,08;1,093;29734;32494,52;40;
2022-12-23;1,094;1,118;1,12;1,13;1,09;1,094;1,104;34670;38289,37;52;
2022-12-22;1,11;1,118;1,06;1,12;1,06;1,118;1,10;91970;101172,08;96;
2022-12-21;1,052;1,056;1,022;1,06;1,02;1,06;1,046;88074;92092;39;
2022-12-20;1,034;1,036;1,02;1,05;1,02;1,034;1,035;50024;51761,05;29;
2022-12-19;1,012;1,02;1,03;1,03;1,012;1,02;1,023;22644;23165,82;27;
2022-12-16;1,026;1,03;1,056;1,056;1,018;1,03;1,028;28583;29375,22;36;
2022-12-15;1,052;1,056;1,036;1,056;1,036;1,056;1,05;112155;117710,82;41;
2022-12-14;1,03;1,036;1,036;1,048;1,03;1,036;1,039;11026;11460,11;20;
2022-12-13;1,04;1,046;1,02;1,046;1,006;1,04;1,027;41361;42488,72;32;
2022-12-12;1,006;1,016;1,026;1,026;0,98;1,02;1,006;44268;44528,36;39;
2022-12-09;1,02;1,036;1,02;1,048;1,014;1,026;1,03;41486;42715,5;23;
2022-12-08;1,016;1,02;1,016;1,026;1,016;1,026;1,019;5882;5996,32;21;
2022-12-07;1,014;1,018;1,04;1,04;1,01;1,016;1,023;24228;24777,8;35;
2022-12-05;1,028;1,04;1,044;1,056;1,02;1,028;1,042;23159;24138,73;35;
2022-12-02;1,03;1,048;1,04;1,07;1,006;1,048;1,036;22124;22926,97;30;
2022-12-01;1,032;1,04;1,028;1,064;1,028;1,032;1,035;9834;10176,48;19;
2022-11-30;1,028;1,04;1,06;1,08;1,014;1,028;1,044;38773;40493,91;49;
2022-11-29;1,056;1,08;1,08;1,08;1,052;1,08;1,069;2903;3103,04;12;
2022-11-28;1,08;1,088;1,086;1,088;1,014;1,08;1,052;33874;35628,74;32;
2022-11-25;1,06;1,084;1,068;1,088;1,06;1,086;1,072;17642;18914,93;25;
