sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-01-05;0,603;0,61;0,61;0,61;0,595;0,603;0,60;19267;11565,72;39;
2023-01-04;0,605;0,613;0,618;0,62;0,605;0,612;0,613;3205;1963,65;22;
2023-01-03;0,612;0,618;0,63;0,63;0,61;0,618;0,619;30590;18940,01;44;
2023-01-02;0,608;0,625;0,60;0,63;0,60;0,624;0,623;18047;11238,68;29;
2022-12-30;0,593;0,60;0,575;0,608;0,562;0,60;0,586;147889;86618,37;142;
2022-12-29;0,572;0,58;0,599;0,599;0,56;0,575;0,578;71541;41363,86;95;
2022-12-28;0,591;0,599;0,60;0,614;0,591;0,591;0,597;17435;10407,77;36;
2022-12-27;0,602;0,609;0,626;0,626;0,581;0,602;0,603;44125;26592,79;83;
2022-12-23;0,60;0,625;0,63;0,63;0,60;0,626;0,609;77235;47028,24;95;
2022-12-22;0,628;0,633;0,641;0,66;0,611;0,63;0,632;60242;38067,51;48;
2022-12-21;0,641;0,646;0,64;0,677;0,64;0,641;0,649;24613;15975,9;31;
2022-12-20;0,628;0,639;0,66;0,66;0,628;0,628;0,639;54545;34833,11;76;
2022-12-19;0,65;0,66;0,68;0,68;0,65;0,659;0,669;25055;16764,16;42;
2022-12-16;0,68;0,682;0,694;0,694;0,68;0,68;0,68;10369;7051,87;17;
2022-12-15;0,68;0,695;0,69;0,719;0,68;0,69;0,69;6431;4440,06;33;
2022-12-14;0,688;0,702;0,714;0,719;0,688;0,688;0,70;57185;40002,3;24;
2022-12-13;0,714;0,715;0,71;0,717;0,71;0,714;0,714;33270;23765,06;22;
2022-12-12;0,702;0,71;0,70;0,71;0,70;0,702;0,707;3956;2796,48;15;
2022-12-09;0,70;0,71;0,70;0,71;0,70;0,70;0,70;42384;29670,64;16;
2022-12-08;0,70;0,71;0,675;0,72;0,669;0,70;0,696;26360;18357,35;38;
2022-12-07;0,675;0,69;0,686;0,69;0,666;0,675;0,677;23091;15628,93;37;
2022-12-05;0,69;0,695;0,71;0,71;0,686;0,695;0,695;5224;3632,14;26;
2022-12-02;0,686;0,696;0,686;0,71;0,686;0,69;0,692;2945;2038,63;11;
2022-12-01;0,684;0,694;0,686;0,703;0,672;0,673;0,685;9944;6815,43;21;
2022-11-30;0,684;0,691;0,72;0,72;0,686;0,686;0,693;11303;7829,42;32;
2022-11-29;0,692;0,697;0,71;0,725;0,69;0,70;0,705;26588;18740,15;29;
2022-11-28;0,693;0,704;0,693;0,705;0,672;0,705;0,689;3901;2688;24;
2022-11-25;0,685;0,699;0,68;0,693;0,66;0,693;0,678;9036;6126,36;26;
2022-11-24;0,676;0,677;0,675;0,702;0,657;0,68;0,673;12644;8511,43;25;
