sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-01-04;16,30;16,40;16,45;16,45;16,25;16,25;16,376;3941;64538,5;53;
2023-01-03;16,15;16,45;16,45;16,50;16,15;16,45;16,41;1098;18018,4;27;
2023-01-02;16,40;16,45;16,15;16,50;16,15;16,45;16,45;1621;26665;45;
2022-12-30;15,95;16,15;16,00;16,35;16,00;16,10;16,088;1643;26432,55;36;
2022-12-29;15,95;16,10;16,15;16,20;15,55;16,00;16,007;3202;51255,15;38;
2022-12-28;16,00;16,10;16,15;16,15;15,90;16,10;16,055;1655;26570,5;25;
2022-12-27;15,90;16,15;15,85;16,15;15,70;16,10;16,012;5012;80249,8;38;
2022-12-23;15,50;15,70;16,05;16,05;15,65;15,65;15,805;1508;23833,4;21;
2022-12-22;16,00;16,05;15,90;16,15;15,90;16,05;16,09;2195;35316,65;24;
2022-12-21;15,90;15,95;16,05;16,05;15,80;15,90;15,949;931;14848,9;37;
2022-12-20;15,80;16,05;15,95;16,10;15,75;16,05;15,941;4079;65021,55;42;
2022-12-19;15,80;15,95;15,80;15,95;15,60;15,80;15,753;2444;38500,1;21;
2022-12-16;15,55;15,60;15,30;15,60;15,30;15,60;15,528;2496;38756,8;30;
2022-12-15;15,35;15,65;15,90;15,90;15,35;15,50;15,683;2115;33169,2;36;
2022-12-14;15,45;15,70;15,50;15,90;15,50;15,70;15,708;2962;46528,15;42;
2022-12-13;15,50;15,55;15,40;15,50;15,40;15,50;15,476;3569;55233,4;19;
2022-12-12;15,15;15,40;15,40;15,40;15,15;15,40;15,346;830;12736,9;17;
2022-12-09;15,15;15,35;15,00;15,40;15,00;15,40;15,232;3013;45892,95;32;
2022-12-08;15,00;15,10;15,15;15,15;15,00;15,10;15,132;874;13224,95;20;
2022-12-07;15,10;15,20;15,25;15,35;15,10;15,15;15,193;917;13931,75;18;
2022-12-05;15,25;15,35;15,40;15,40;15,20;15,25;15,281;32239;492653,5;38;
2022-12-02;15,15;15,20;15,00;15,20;14,65;15,15;14,927;4462;66603,45;45;
2022-12-01;14,65;14,80;14,55;14,90;14,50;14,90;14,696;1338;19662,8;20;
2022-11-30;14,55;14,65;14,55;14,75;14,45;14,55;14,495;1775;25728,5;11;
2022-11-29;14,55;14,80;15,00;15,00;14,50;14,80;14,699;2555;37556,45;34;
2022-11-28;14,60;15,00;14,90;15,00;14,90;15,00;14,947;577;8624,45;15;
2022-11-25;14,90;15,10;14,90;15,25;14,85;14,90;15,131;5311;80360,85;27;
2022-11-24;14,70;14,90;14,60;14,85;14,60;14,85;14,729;1185;17454,35;15;
2022-11-23;14,45;14,65;14,60;14,65;14,45;14,60;14,509;605;8777,8;10;
2022-11-22;14,60;14,65;14,80;14,80;14,55;14,60;14,61;277;4047,05;10;
2022-11-21;14,75;14,85;14,85;15,10;14,55;14,75;14,807;5898;87331,5;49;
2022-11-18;14,60;14,85;14,55;14,80;14,55;14,60;14,666;4320;63357,3;34;
2022-11-17;14,45;14,55;14,60;14,85;14,20;14,55;14,502;11254;163207,05;110;
2022-11-16;13,70;14,80;13,75;14,35;13,75;13,90;13,997;2086;29197,4;21;
2022-11-15;14,00;14,05;13,90;14,05;13,80;14,05;13,88;2357;32716;38;
2022-11-14;13,90;13,95;13,95;14,00;13,75;13,90;13,864;3625;50255,1;51;
2022-11-11;13,95;14,10;14,55;14,55;13,95;14,10;14,092;22165;312347;92;
2022-11-10;14,00;14,15;14,30;14,30;14,00;14,10;14,127;15181;214467;82;
2022-11-09;14,20;14,30;14,35;14,35;14,20;14,20;14,27;1735;24758,55;23;
2022-11-08;14,35;14,50;14,50;14,90;14,35;14,35;14,589;5392;78662,1;50;
2022-11-07;14,50;14,60;14,50;14,60;14,30;14,50;14,472;1123;16252,4;27;
2022-11-04;14,25;14,60;14,40;14,60;14,25;14,35;14,446;967;13969,5;16;
2022-11-03;14,25;14,40;14,50;14,50;14,15;14,25;14,242;993;14142,7;16;
2022-11-02;14,25;14,50;14,70;14,75;14,25;14,50;14,606;825;12050,15;11;
2022-11-01;14,65;14,80;14,80;15,00;14,65;14,65;14,803;251;3715,45;18;
2022-10-31;14,75;15,00;14,50;15,00;14,50;15,00;14,909;896;13358,65;15;
2022-10-28;14,50;14,70;14,90;14,90;14,15;14,50;14,468;3936;56946,35;55;
2022-10-27;14,55;14,85;14,60;14,90;14,50;14,80;14,673;6387;93718,3;48;
2022-10-26;14,50;14,55;14,30;14,55;14,30;14,55;14,508;935;13564,5;15;
2022-10-25;14,25;14,60;14,50;14,70;14,30;14,60;14,634;2020;29560,25;19;
2022-10-24;14,40;14,60;14,50;14,60;14,50;14,50;14,513;578;8388,2;13;
2022-10-21;14,05;14,30;14,25;14,50;14,05;14,40;14,182;250;3545,4;7;
2022-10-20;13,95;14,35;14,50;14,50;14,25;14,25;14,384;2765;39771,2;14;
2022-10-19;14,35;14,50;14,40;14,50;14,20;14,30;14,403;2050;29526,6;17;
